label,group,solver,oracle,seed,budget,iterations,initial,episodes_per_entry,final_exploitability,final_value,value_error,population,support,entropy,cycles,cyclic_fraction,dominated,diversity_mean,diversity_weighted,effective_policies,population_exploitability,value_upper,value_lower,unique_policies,unique_fraction,effective_diversity,dpp_cardinality,kuhn_alpha,kuhn_beta,kuhn_gamma,kuhn_residual0,kuhn_xi,kuhn_eta,kuhn_residual1,exploitability_rises,largest_rise,total_eval_episodes,total_oracle_episodes,wall_seconds,vs_population_mean,vs_population_worst,vs_population_spread,vs_baselines_mean,vs_baselines_worst,vs_baselines_spread,vs_unseen_mean,vs_unseen_worst,vs_unseen_spread,vs_nash_mean,vs_nash_worst,vs_nash_spread,vs_perturbed_mean,vs_perturbed_worst,vs_perturbed_spread,vs_early_mean,vs_early_worst,vs_early_spread,vs_final_selfplay_mean,vs_final_selfplay_worst,vs_final_selfplay_spread
full_s2,full,nash,q_learning,2,5000,12,random,2000,0.03478360221241807,-0.05531694437892868,0.00023861117662687253,13,5,1.1699132087719035,12,0.04195804195804196,0,0.21597951577991628,0.22891725957967815,3.221713009965313,0.0,-0.05555555555555556,-0.05555555555555556,9,0.6923076923076923,0.03274126285680226,1.8352251446407815,0.16034976290298802,0.47445211980620244,0.42846828568937567,0.019230976430118868,0.37197612601829105,0.3023486416518816,0.06962748436640948,1,0.010795109479976556,338000,120000,5.525549006999427,-0.024066968724252437,-0.061113893320467155,0.04784140933357049,0.05271690220068916,-0.05235039281720241,0.07429515283570395,0.11029798049263087,0.06697667171413466,0.03172145686548071,-0.05555555555555553,-0.05555555555555553,0.0,-0.00983805924243636,-0.039419968621513465,0.026622360192134435,0.03414362248302931,-0.02157621666995026,0.04600977458812737,0.03536469076776328,0.03536469076776328,0.0
full_s3,full,nash,q_learning,3,5000,12,random,2000,0.0371220682796153,-0.055928863890612135,0.00037330833505658245,13,4,1.3786259082966177,24,0.08391608391608392,0,0.2247227381707689,0.2396403004707056,3.969443498989998,6.938893903907228e-18,-0.055555555555555566,-0.05555555555555557,9,0.6923076923076923,0.08016404650071839,2.078268651374994,0.21102542457897147,0.4949225748955595,0.5552390340331339,0.049436183016745266,0.3779015452571539,0.32175879340114655,0.05614275185600737,3,0.015613243008594097,338000,120000,7.144631588005723,-0.023083639558406255,-0.07203428322780395,0.05123388120963581,0.05499139721061772,-0.04731619171943137,0.07295056233736556,0.11857790163824007,0.0731424259572457,0.035182361500863686,-0.05555555555555554,-0.05555555555555554,0.0,-0.006478381506295278,-0.038234200008757796,0.028578778588462417,0.03648216863410543,-0.019045517095431473,0.052277861394420276,0.042503578255883676,0.042503578255883676,0.0
full_s4,full,nash,q_learning,4,5000,12,random,2000,0.01612709365717059,-0.05573880153617067,0.00018324598061511543,13,4,1.025131144519519,31,0.10839160839160839,0,0.23059696747895742,0.26734281911847674,2.7874609968293953,-6.938893903907228e-18,-0.05555555555555558,-0.05555555555555557,9,0.6923076923076923,0.06636952086953256,1.9853058507241403,0.13949857270869562,0.45972586077824096,0.4055696600279426,0.013106045263787974,0.36860856904105715,0.34636817512085244,0.048310077495242965,2,0.03518524441895762,338000,120000,5.663610557998254,-0.02749385331321442,-0.05776989429379421,0.04744376175240267,0.051080651197582316,-0.05337121467825758,0.0739118810751068,0.10471777642791677,0.06382450121933665,0.029653652454201915,-0.05555555555555553,-0.05555555555555553,0.0,-0.011518105455709464,-0.040012926108551033,0.025644030252042045,0.0340067210740797,-0.017215069296428177,0.0429521096918481,0.031039290163254445,0.031039290163254445,0.0
no_population_s0,no_population,self_play,q_learning,0,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.30405095731898324,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.05555555555555558,8,0.6153846153846154,0.0,1.8866005806098136,1.0,1.0,0.0,1.6666666666666667,1.0,0.0,1.0,6,0.5833333333333334,338000,120000,6.447529051005404,0.1346153846153846,-0.5,0.4831989883344296,0.11111111111111112,0.0,0.15713484026367724,0.3746834938061062,0.081697518855154,0.2077831641727927,-0.055555555555555525,-0.055555555555555525,0.0,0.054629629629629646,-0.016666666666666635,0.0641633931076682,-0.020833333333333343,-0.41666666666666674,0.2659821944750772,0.33333333333333337,0.33333333333333337,0.0
no_population_s1,no_population,self_play,q_learning,1,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,63,0.2202797202797203,0,0.3103245505752781,0.0,1.0,0.0904183535762483,0.026315789473684195,-0.06410256410256411,8,0.6153846153846154,0.0,1.9368473840805327,1.0,,0.0,,1.0,0.0,1.0,6,0.5833333333333335,338000,120000,6.235813489998691,0.14743589743589747,-0.5,0.5148996314877743,0.16666666666666666,0.0,0.23570226039551584,0.5247136861411255,0.1186640960276368,0.30445096116263115,-0.11111111111111113,-0.11111111111111113,0.0,0.06203703703703705,-0.05000000000000002,0.1008281891691929,0.08333333333333337,-0.33333333333333326,0.3435921354681384,0.5833333333333334,0.5833333333333334,0.0
no_population_s2,no_population,self_play,q_learning,2,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.31280448296474367,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.05555555555555558,8,0.6153846153846154,0.0,1.849792819415549,1.0,1.0,0.0,1.6666666666666667,1.0,0.0,1.0,6,0.5833333333333335,338000,120000,5.3075155159986025,0.141025641025641,-0.41666666666666674,0.47522443571411893,0.11111111111111112,0.0,0.15713484026367724,0.3746834938061062,0.081697518855154,0.2077831641727927,-0.055555555555555525,-0.055555555555555525,0.0,0.054629629629629646,-0.016666666666666635,0.0641633931076682,-0.020833333333333343,-0.41666666666666674,0.2659821944750772,0.33333333333333337,0.33333333333333337,0.0
no_population_s3,no_population,self_play,q_learning,3,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.30405095731898324,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.05555555555555558,8,0.6153846153846154,0.0,1.886600580609817,1.0,1.0,0.0,1.6666666666666667,1.0,0.0,1.0,6,0.5833333333333335,338000,120000,6.753827391998129,0.1346153846153846,-0.5,0.4831989883344296,0.11111111111111112,0.0,0.15713484026367724,0.3746834938061062,0.081697518855154,0.2077831641727927,-0.055555555555555525,-0.055555555555555525,0.0,0.054629629629629646,-0.016666666666666635,0.0641633931076682,-0.020833333333333343,-0.41666666666666674,0.2659821944750772,0.33333333333333337,0.33333333333333337,0.0
no_population_s4,no_population,self_play,q_learning,4,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.3040509573189833,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.055555555555555566,8,0.6153846153846154,0.0,1.9085543975259314,1.0,,0.0,,1.0,0.0,1.0,6,0.5000000000000001,338000,120000,5.439222498000163,0.16025641025641024,-0.5,0.5265002358559249,0.16666666666666666,0.0,0.23570226039551584,0.5247136861411255,0.1186640960276368,0.30445096116263115,-0.11111111111111113,-0.11111111111111113,0.0,0.06203703703703705,-0.05000000000000002,0.1008281891691929,0.041666666666666685,-0.5,0.39747466725706065,0.5833333333333334,0.5833333333333334,0.0
uniform_meta_s0,uniform_meta,uniform,q_learning,0,5000,12,random,2000,0.13461538461538464,-0.035256410256410284,0.02029914529914527,13,13,2.564949357461537,25,0.08741258741258741,0,0.21565891664604228,0.21565891664604234,13.000000000000005,0.00854700854700853,-0.05555555555555558,-0.06410256410256411,7,0.5384615384615384,0.07051282051282054,1.995711443016939,0.11538461538461542,0.6578947368421054,0.6538461538461539,0.2091767881241567,0.5000000000000001,0.576923076923077,0.41025641025641046,0,0.0,338000,120000,7.383750320001127,-0.03525641025641029,-0.10897435897435903,0.07107094874294118,0.0844017094017094,-0.10897435897435903,0.13679386382623274,0.16625864619081604,0.10753423358585569,0.058614220800962936,-0.07692307692307693,-0.07692307692307693,0.0,-0.005181623931623938,-0.051602564102564134,0.04177671474317957,0.02323717948717946,-0.057692307692307765,0.09565509000699972,0.009615384615384607,0.009615384615384607,0.0
uniform_meta_s1,uniform_meta,uniform,q_learning,1,5000,12,random,2000,0.11538461538461539,-0.030325443786982265,0.025230111768573288,13,13,2.564949357461537,30,0.1048951048951049,0,0.19567927817493638,0.19567927817493636,13.000000000000005,0.011111111111111113,-0.055555555555555566,-0.06666666666666668,5,0.38461538461538464,0.061143984220907305,1.8523427145690692,0.11538461538461542,0.5434782608695654,0.6538461538461539,0.11036789297658839,0.26923076923076933,0.6538461538461539,0.3846153846153845,1,0.0007575757575757347,338000,120000,5.684899976000452,-0.030325443786982282,-0.08974358974358976,0.054633684356862104,0.058760683760683746,-0.08333333333333337,0.10055229543463629,0.11715105840417084,0.06647867520920125,0.0421350129769268,-0.06837606837606837,-0.06837606837606837,0.0,-0.013586182336182336,-0.04903846153846155,0.031905423495846,0.02644230769230768,-0.032051282051282104,0.059028986335618636,-0.003205128205128232,-0.003205128205128232,0.0
