label,group,solver,oracle,seed,budget,iterations,initial,episodes_per_entry,final_exploitability,final_value,value_error,population,support,entropy,cycles,cyclic_fraction,dominated,diversity_mean,diversity_weighted,effective_policies,population_exploitability,value_upper,value_lower,unique_policies,unique_fraction,effective_diversity,dpp_cardinality,kuhn_alpha,kuhn_beta,kuhn_gamma,kuhn_residual0,kuhn_xi,kuhn_eta,kuhn_residual1,exploitability_rises,largest_rise,total_eval_episodes,total_oracle_episodes,wall_seconds,vs_population_mean,vs_population_worst,vs_population_spread,vs_baselines_mean,vs_baselines_worst,vs_baselines_spread,vs_unseen_mean,vs_unseen_worst,vs_unseen_spread,vs_nash_mean,vs_nash_worst,vs_nash_spread,vs_perturbed_mean,vs_perturbed_worst,vs_perturbed_spread,vs_early_mean,vs_early_worst,vs_early_spread,vs_final_selfplay_mean,vs_final_selfplay_worst,vs_final_selfplay_spread
self_play_s1,self_play,self_play,q_learning,1,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,63,0.2202797202797203,0,0.3103245505752781,0.0,1.0,0.0904183535762483,0.026315789473684195,-0.06410256410256411,8,0.6153846153846154,0.0,1.9368473840805327,1.0,,0.0,,1.0,0.0,1.0,6,0.5833333333333335,338000,120000,6.0696843520036055,0.14743589743589747,-0.5,0.5148996314877743,0.16666666666666666,0.0,0.23570226039551584,0.5247136861411255,0.1186640960276368,0.30445096116263115,-0.11111111111111113,-0.11111111111111113,0.0,0.06203703703703705,-0.05000000000000002,0.1008281891691929,0.08333333333333337,-0.33333333333333326,0.3435921354681384,0.5833333333333334,0.5833333333333334,0.0
self_play_s2,self_play,self_play,q_learning,2,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.31280448296474367,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.05555555555555558,8,0.6153846153846154,0.0,1.849792819415549,1.0,1.0,0.0,1.6666666666666667,1.0,0.0,1.0,6,0.5833333333333335,338000,120000,5.839483411997207,0.141025641025641,-0.41666666666666674,0.47522443571411893,0.11111111111111112,0.0,0.15713484026367724,0.3746834938061062,0.081697518855154,0.2077831641727927,-0.055555555555555525,-0.055555555555555525,0.0,0.054629629629629646,-0.016666666666666635,0.0641633931076682,-0.020833333333333343,-0.41666666666666674,0.2659821944750772,0.33333333333333337,0.33333333333333337,0.0
self_play_s3,self_play,self_play,q_learning,3,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.30405095731898324,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.05555555555555558,8,0.6153846153846154,0.0,1.886600580609817,1.0,1.0,0.0,1.6666666666666667,1.0,0.0,1.0,6,0.5833333333333335,338000,120000,5.25359971099715,0.1346153846153846,-0.5,0.4831989883344296,0.11111111111111112,0.0,0.15713484026367724,0.3746834938061062,0.081697518855154,0.2077831641727927,-0.055555555555555525,-0.055555555555555525,0.0,0.054629629629629646,-0.016666666666666635,0.0641633931076682,-0.020833333333333343,-0.41666666666666674,0.2659821944750772,0.33333333333333337,0.33333333333333337,0.0
self_play_s4,self_play,self_play,q_learning,4,5000,12,random,2000,1.25,0.75,0.8055555555555556,13,1,-0.0,56,0.1958041958041958,0,0.3040509573189833,0.0,1.0,0.08187134502923982,0.026315789473684244,-0.055555555555555566,8,0.6153846153846154,0.0,1.9085543975259314,1.0,,0.0,,1.0,0.0,1.0,6,0.5000000000000001,338000,120000,6.229945744997167,0.16025641025641024,-0.5,0.5265002358559249,0.16666666666666666,0.0,0.23570226039551584,0.5247136861411255,0.1186640960276368,0.30445096116263115,-0.11111111111111113,-0.11111111111111113,0.0,0.06203703703703705,-0.05000000000000002,0.1008281891691929,0.041666666666666685,-0.5,0.39747466725706065,0.5833333333333334,0.5833333333333334,0.0
nash_s0,nash,nash,q_learning,0,5000,12,random,2000,0.02287644820522019,-0.05609489855585138,0.0005393430002958305,13,4,1.0159711410069936,10,0.03496503496503497,0,0.21716712081218426,0.199885467951515,2.7620444299442948,-6.938893903907228e-18,-0.05555555555555557,-0.055555555555555566,9,0.6923076923076923,0.012823912337066895,1.9237950041958696,0.036109551148827135,0.3322399867568817,0.07986918041403332,0.03720289772527871,0.3647597802237153,0.3552231782454929,0.05331629180254155,1,0.002553213284669155,338000,120000,5.382834950996767,-0.031244499944659002,-0.0679565214639818,0.046071168583059506,0.03691555408409797,-0.04935507260134244,0.06287625104728027,0.07586034612951581,0.02765165486832756,0.02442479705174334,-0.055555555555555525,-0.055555555555555525,0.0,-0.022420531080378548,-0.043860841034904834,0.019295294530383405,0.021083752427154233,-0.03604354253233689,0.05310476586275299,0.0363498834846949,0.0363498834846949,0.0
nash_s1,nash,nash,q_learning,1,5000,12,random,2000,0.04662660625267271,-0.05466620541737629,0.0008893501381792637,13,5,1.2535952449041736,14,0.04895104895104895,0,0.2013859405556369,0.20249420590518546,3.50291417996422,1.3877787807814457e-17,-0.05555555555555558,-0.055555555555555594,9,0.6923076923076923,0.02100151444640248,1.778445226735363,0.1173732275426882,0.3509525330299633,0.17208561002498368,0.09975402784605816,0.30228529842634505,0.3242555773283616,0.04012579091196,3,0.019780029619148647,338000,120000,7.176725549004914,-0.009685260242873358,-0.06893556301505936,0.04900190344088669,0.03899472589221815,-0.03892988424787921,0.05510107747949529,0.09095217155214302,0.03760310848129698,0.029529144929166303,-0.05555555555555554,-0.05555555555555554,0.0,-0.01769943167666181,-0.042194570657122454,0.022044500391697183,0.019416310890685375,-0.06893556301505936,0.05506876777121589,0.059406288469044215,0.059406288469044215,0.0
nash_s2,nash,nash,q_learning,2,5000,12,random,2000,0.03478360221241807,-0.05531694437892868,0.00023861117662687253,13,5,1.1699132087719035,12,0.04195804195804196,0,0.21597951577991628,0.22891725957967815,3.221713009965313,0.0,-0.05555555555555556,-0.05555555555555556,9,0.6923076923076923,0.03274126285680226,1.8352251446407815,0.16034976290298802,0.47445211980620244,0.42846828568937567,0.019230976430118868,0.37197612601829105,0.3023486416518816,0.06962748436640948,1,0.010795109479976556,338000,120000,5.839375353003561,-0.024066968724252437,-0.061113893320467155,0.04784140933357049,0.05271690220068916,-0.05235039281720241,0.07429515283570395,0.11029798049263087,0.06697667171413466,0.03172145686548071,-0.05555555555555553,-0.05555555555555553,0.0,-0.00983805924243636,-0.039419968621513465,0.026622360192134435,0.03414362248302931,-0.02157621666995026,0.04600977458812737,0.03536469076776328,0.03536469076776328,0.0
nash_s3,nash,nash,q_learning,3,5000,12,random,2000,0.0371220682796153,-0.055928863890612135,0.00037330833505658245,13,4,1.3786259082966177,24,0.08391608391608392,0,0.2247227381707689,0.2396403004707056,3.969443498989998,6.938893903907228e-18,-0.055555555555555566,-0.05555555555555557,9,0.6923076923076923,0.08016404650071839,2.078268651374994,0.21102542457897147,0.4949225748955595,0.5552390340331339,0.049436183016745266,0.3779015452571539,0.32175879340114655,0.05614275185600737,3,0.015613243008594097,338000,120000,6.617563383999368,-0.023083639558406255,-0.07203428322780395,0.05123388120963581,0.05499139721061772,-0.04731619171943137,0.07295056233736556,0.11857790163824007,0.0731424259572457,0.035182361500863686,-0.05555555555555554,-0.05555555555555554,0.0,-0.006478381506295278,-0.038234200008757796,0.028578778588462417,0.03648216863410543,-0.019045517095431473,0.052277861394420276,0.042503578255883676,0.042503578255883676,0.0
nash_s4,nash,nash,q_learning,4,5000,12,random,2000,0.01612709365717059,-0.05573880153617067,0.00018324598061511543,13,4,1.025131144519519,31,0.10839160839160839,0,0.23059696747895742,0.26734281911847674,2.7874609968293953,-6.938893903907228e-18,-0.05555555555555558,-0.05555555555555557,9,0.6923076923076923,0.06636952086953256,1.9853058507241403,0.13949857270869562,0.45972586077824096,0.4055696600279426,0.013106045263787974,0.36860856904105715,0.34636817512085244,0.048310077495242965,2,0.03518524441895762,338000,120000,5.658493798993732,-0.02749385331321442,-0.05776989429379421,0.04744376175240267,0.051080651197582316,-0.05337121467825758,0.0739118810751068,0.10471777642791677,0.06382450121933665,0.029653652454201915,-0.05555555555555553,-0.05555555555555553,0.0,-0.011518105455709464,-0.040012926108551033,0.025644030252042045,0.0340067210740797,-0.017215069296428177,0.0429521096918481,0.031039290163254445,0.031039290163254445,0.0
