label,group,solver,oracle,seed,budget,episodes_per_entry,iteration,population,exploitability,entropy0,entropy1,value,empirical_value,oracle_seconds,wall_seconds,evaluation_episodes
nash_s0,nash,nash,q_learning,0,5000,2000,1,2,0.9166666666666665,-0.0,-0.0,0.12500000000000006,0.1295,0.46499573700020846,0.4788994990012725,2000
nash_s0,nash,nash,q_learning,0,5000,2000,2,3,0.8333333333333333,-0.0,-0.0,-0.16666666666666663,-0.21849999999999997,0.48136278099991614,0.49339193199921283,8000
nash_s0,nash,nash,q_learning,0,5000,2000,3,4,0.33333333333333337,-0.0,-0.0,-0.08333333333333331,-0.11599999999999999,0.40530113899876596,0.41950874799840676,18000
nash_s0,nash,nash,q_learning,0,5000,2000,4,5,0.2828162433807255,0.8537151785676522,0.9113678119537749,0.06203321135261167,0.04271020778235539,0.6115128720011853,0.6255268869990687,32000
nash_s0,nash,nash,q_learning,0,5000,2000,5,6,0.1423959351274033,0.9516466727386389,1.0730077762123016,-0.010917776008594893,0.002517566677508245,0.6285425620008027,0.6600484489990777,50000
nash_s0,nash,nash,q_learning,0,5000,2000,6,7,0.08909409030079637,1.0702323709167956,1.084499245737378,-0.04283499331856061,-0.03552325781718456,0.6583283830004802,0.6882745590010018,72000
nash_s0,nash,nash,q_learning,0,5000,2000,7,8,0.08909409030079635,1.0702323709167956,1.084499245737378,-0.04283499331856062,-0.03552325781718456,0.6460041400005139,0.6763836110003467,98000
nash_s0,nash,nash,q_learning,0,5000,2000,8,9,0.08909409030079642,1.0702323709167956,1.084499245737378,-0.04283499331856061,-0.03552325781718456,0.6305822249996709,0.6772865300008561,128000
nash_s0,nash,nash,q_learning,0,5000,2000,9,10,0.06231724205940875,1.0082664383021422,0.8009070806758201,-0.05714983297238079,-0.05164795161041366,0.7064519779996772,0.7445605310003884,162000
nash_s0,nash,nash,q_learning,0,5000,2000,10,11,0.04057968153551635,0.9906013418412813,0.7537743010346216,-0.05676436085412152,-0.0481884386895099,0.718179894000059,0.7698521479996998,200000
nash_s0,nash,nash,q_learning,0,5000,2000,11,12,0.020652965953001826,1.0898869392800343,0.922879959191304,-0.05512961475371433,-0.0468718230210191,0.47233134399903065,0.5372142769992934,242000
nash_s0,nash,nash,q_learning,0,5000,2000,12,13,0.020323234920551034,1.3417244204311238,1.0062112451290717,-0.05563361660633904,-0.04727121366911675,0.42272286899969913,0.4567794809991028,288000
